photo,lat,lon,date_taken,alt,heading,notes
G0024059_19.JPG,40.965581,-73.7349013,2017:07:20,5.489,177,alt values for G00 are not accurate
G0024059_22.JPG,40.965581,-73.7349013,2017:07:20,5.489,177,alt values for G00 are not accurate
G0024059_23.JPG,40.965581,-73.7349013,2017:07:20,5.489,177,alt values for G00 are not accurate
G0024060_18.JPG,40.9653764,-73.734865,2017:07:20,4.655,177,alt values for G00 are not accurate
G0024060_19.JPG,40.9653764,-73.734865,2017:07:20,4.655,177,alt values for G00 are not accurate
G0024060_21.JPG,40.9653764,-73.734865,2017:07:20,4.655,177,alt values for G00 are not accurate
G0024061_17.JPG,40.9651866,-73.7348232,2017:07:20,3.272,177,alt values for G00 are not accurate
G0024061_19.JPG,40.9651866,-73.7348232,2017:07:20,3.272,177,alt values for G00 are not accurate
G0024061_22.JPG,40.9651866,-73.7348232,2017:07:20,3.272,177,alt values for G00 are not accurate
G0024061_23.JPG,40.9651866,-73.7348232,2017:07:20,3.272,177,alt values for G00 are not accurate
G0024062_19.JPG,40.9651318,-73.7348152,2017:07:20,4.151,177,alt values for G00 are not accurate
G0024062_20.JPG,40.9651318,-73.7348152,2017:07:20,4.151,177,alt values for G00 are not accurate
G0024062_21.JPG,40.9651318,-73.7348152,2017:07:20,4.151,177,alt values for G00 are not accurate
G0024062_22.JPG,40.9651318,-73.7348152,2017:07:20,4.151,177,alt values for G00 are not accurate
G0024067_19.JPG,40.9651937,-73.7345779,2017:07:20,2.036,86,alt values for G00 are not accurate
G0024067_20.JPG,40.9651937,-73.7345779,2017:07:20,2.036,86,alt values for G00 are not accurate
G0024068_11.JPG,40.9652555,-73.7343313,2017:07:20,2.516,83,alt values for G00 are not accurate
G0024069_19.JPG,40.9653177,-73.7340775,2017:07:20,3.749,83,alt values for G00 are not accurate
G0024070_17.JPG,40.9653764,-73.7338292,2017:07:20,4.869,65,alt values for G00 are not accurate
G0024070_22.JPG,40.9653764,-73.7338292,2017:07:20,4.869,65,alt values for G00 are not accurate
G0024071_22.JPG,40.9654126,-73.7337014,2017:07:20,6.956,120,alt values for G00 are not accurate
G0024071_23.JPG,40.9654126,-73.7337014,2017:07:20,6.956,120,alt values for G00 are not accurate
G0024074_21.JPG,40.9649153,-73.7337962,2017:07:20,10.675,120,alt values for G00 are not accurate
G0024074_22.JPG,40.9649153,-73.7337962,2017:07:20,10.675,120,alt values for G00 are not accurate
G0024075_19.JPG,40.9647369,-73.733829,2017:07:20,10.935,185,alt values for G00 are not accurate
G0024076_11.JPG,40.9647046,-73.7338275,2017:07:20,12.46,90,alt values for G00 are not accurate
G0024076_21.JPG,40.9647046,-73.7338275,2017:07:20,12.46,90,alt values for G00 are not accurate
G0024080_22.JPG,40.9647022,-73.7337533,2017:07:20,9.184,68,alt values for G00 are not accurate
G0024083_18.JPG,40.9648656,-73.733033,2017:07:20,10.169,72,alt values for G00 are not accurate
G0024083_19.JPG,40.9648656,-73.733033,2017:07:20,10.169,72,alt values for G00 are not accurate
G0024084_11.JPG,40.9649127,-73.7327829,2017:07:20,11.881,72,alt values for G00 are not accurate
G0024084_5.JPG,40.9649127,-73.7327829,2017:07:20,11.881,72,alt values for G00 are not accurate
G0024085_11.JPG,40.9649752,-73.7325189,2017:07:20,13.058,72,alt values for G00 are not accurate
G0024085_20.JPG,40.9649752,-73.7325189,2017:07:20,13.058,72,alt values for G00 are not accurate
G0024085_22.JPG,40.9649752,-73.7325189,2017:07:20,13.058,72,alt values for G00 are not accurate
G0024085_23.JPG,40.9649752,-73.7325189,2017:07:20,13.058,72,alt values for G00 are not accurate
G0024086_11.JPG,40.9650395,-73.732255,2017:07:20,13.316,72,alt values for G00 are not accurate
G0024087_21.JPG,40.9651054,-73.7319899,2017:07:20,13.406,72,alt values for G00 are not accurate
G0024087_22.JPG,40.9651054,-73.7319899,2017:07:20,13.406,72,alt values for G00 are not accurate
G0024087_5.JPG,40.9651054,-73.7319899,2017:07:20,13.406,72,alt values for G00 are not accurate
G0024088_22.JPG,40.9651895,-73.7317328,2017:07:20,14.397,72,alt values for G00 are not accurate
G0024089_23.JPG,40.9652574,-73.7314708,2017:07:20,12.021,72,alt values for G00 are not accurate
G0036427_20.JPG,40.9677056,-73.7319473,2017:08:03,6.603,275,alt values for G00 are not accurate
G0036427_21.JPG,40.9677056,-73.7319473,2017:08:03,6.603,275,alt values for G00 are not accurate
G0036428_19.JPG,40.9676645,-73.7320549,2017:08:03,1.169,275,alt values for G00 are not accurate
G0036428_20.JPG,40.9676645,-73.7320549,2017:08:03,1.169,275,alt values for G00 are not accurate
G0036430_21.JPG,40.967611,-73.7322762,2017:08:03,4.323,275,alt values for G00 are not accurate
